"","polity","realized_coup","type_of_coup","replicate","n","number"
"436",-8,1,"coup",36,16,16
"437",-8,1,"coup",37,11,11
"438",-8,1,"coup",38,6,6
"439",-8,1,"coup",39,13,13
"440",-8,1,"coup",40,10,10
"441",-8,1,"coup",41,5,5
"442",-8,1,"coup",42,14,14
"443",-8,1,"coup",43,10,10
"444",-8,1,"coup",44,5,5
"445",-8,1,"coup",45,9,9
"446",-8,1,"coup",46,10,10
"447",-8,1,"coup",47,18,18
"448",-8,1,"coup",48,4,4
"449",-8,1,"coup",49,7,7
"450",-8,1,"coup",50,6,6
"451",-7,0,"attempt",1,95,95
"452",-7,0,"attempt",2,91,91
"453",-7,0,"attempt",3,103,103
"454",-7,0,"attempt",4,102,102
"455",-7,0,"attempt",5,90,90
"456",-7,0,"attempt",6,91,91
"457",-7,0,"attempt",7,85,85
"458",-7,0,"attempt",8,95,95
"459",-7,0,"attempt",9,70,70
"460",-7,0,"attempt",10,102,102
"461",-7,0,"attempt",11,85,85
"462",-7,0,"attempt",12,80,80
"463",-7,0,"attempt",13,84,84
"464",-7,0,"attempt",14,93,93
"465",-7,0,"attempt",15,110,110
"466",-7,0,"attempt",16,87,87
"467",-7,0,"attempt",17,80,80
"468",-7,0,"attempt",18,95,95
"469",-7,0,"attempt",19,70,70
"470",-7,0,"attempt",20,88,88
"471",-7,0,"attempt",21,94,94
"472",-7,0,"attempt",22,91,91
"473",-7,0,"attempt",23,83,83
"474",-7,0,"attempt",24,93,93
"475",-7,0,"attempt",25,97,97
"476",-7,0,"attempt",26,86,86
"477",-7,0,"attempt",27,104,104
"478",-7,0,"attempt",28,103,103
"479",-7,0,"attempt",29,89,89
"480",-7,0,"attempt",30,88,88
"481",-7,0,"attempt",31,92,92
"482",-7,0,"attempt",32,85,85
"483",-7,0,"attempt",33,88,88
"484",-7,0,"attempt",34,107,107
"485",-7,0,"attempt",35,82,82
"486",-7,0,"attempt",36,84,84
"487",-7,0,"attempt",37,82,82
"488",-7,0,"attempt",38,92,92
"489",-7,0,"attempt",39,70,70
"490",-7,0,"attempt",40,85,85
"491",-7,0,"attempt",41,83,83
"492",-7,0,"attempt",42,99,99
"493",-7,0,"attempt",43,113,113
"494",-7,0,"attempt",44,84,84
"495",-7,0,"attempt",45,80,80
"496",-7,0,"attempt",46,96,96
"497",-7,0,"attempt",47,86,86
"498",-7,0,"attempt",48,84,84
